Episode 1/2000 => steps=530, reward=9470.820, coverage=77/100 (77.0%)
Episode 2/2000 => steps=615, reward=11112.520, coverage=65/100 (65.0%)
Episode 3/2000 => steps=1000, reward=17664.150, coverage=73/100 (73.0%)
Episode 4/2000 => steps=654, reward=11272.200, coverage=71/100 (71.0%)
Episode 5/2000 => steps=527, reward=9583.880, coverage=74/100 (74.0%)
Episode 6/2000 => steps=558, reward=10072.250, coverage=76/100 (76.0%)
Episode 7/2000 => steps=1000, reward=19064.400, coverage=80/100 (80.0%)
Episode 8/2000 => steps=1000, reward=15928.610, coverage=72/100 (72.0%)
Episode 9/2000 => steps=896, reward=17605.480, coverage=90/100 (90.0%)
Episode 10/2000 => steps=1000, reward=20006.880, coverage=82/100 (82.0%)
Episode 11/2000 => steps=897, reward=16925.560, coverage=75/100 (75.0%)
Episode 12/2000 => steps=570, reward=10612.920, coverage=81/100 (81.0%)
Episode 13/2000 => steps=821, reward=14289.890, coverage=86/100 (86.0%)
Episode 14/2000 => steps=941, reward=17913.020, coverage=85/100 (85.0%)
Episode 15/2000 => steps=744, reward=11294.330, coverage=71/100 (71.0%)
Episode 16/2000 => steps=803, reward=12059.910, coverage=68/100 (68.0%)
Episode 17/2000 => steps=1000, reward=18273.990, coverage=79/100 (79.0%)
Episode 18/2000 => steps=904, reward=17211.290, coverage=82/100 (82.0%)
Episode 19/2000 => steps=763, reward=15598.140, coverage=76/100 (76.0%)
Episode 20/2000 => steps=874, reward=15772.030, coverage=70/100 (70.0%)
Episode 21/2000 => steps=1000, reward=19765.980, coverage=87/100 (87.0%)
Episode 22/2000 => steps=1000, reward=19025.520, coverage=75/100 (75.0%)
Episode 23/2000 => steps=622, reward=10866.000, coverage=65/100 (65.0%)
Episode 24/2000 => steps=700, reward=14825.930, coverage=83/100 (83.0%)
Episode 25/2000 => steps=819, reward=13584.630, coverage=76/100 (76.0%)
Episode 26/2000 => steps=537, reward=9099.550, coverage=69/100 (69.0%)
Episode 27/2000 => steps=539, reward=10073.880, coverage=69/100 (69.0%)
Episode 28/2000 => steps=686, reward=14597.710, coverage=75/100 (75.0%)
Episode 29/2000 => steps=1000, reward=17682.500, coverage=74/100 (74.0%)
Episode 30/2000 => steps=961, reward=20457.980, coverage=81/100 (81.0%)
Episode 31/2000 => steps=521, reward=9849.780, coverage=68/100 (68.0%)
Episode 32/2000 => steps=1000, reward=17983.900, coverage=72/100 (72.0%)
Episode 33/2000 => steps=776, reward=14776.400, coverage=73/100 (73.0%)
Episode 34/2000 => steps=1000, reward=18837.130, coverage=95/100 (95.0%)
Episode 35/2000 => steps=749, reward=16123.770, coverage=72/100 (72.0%)
Episode 36/2000 => steps=1000, reward=20879.600, coverage=74/100 (74.0%)
Episode 37/2000 => steps=804, reward=15875.220, coverage=72/100 (72.0%)
Episode 38/2000 => steps=772, reward=14228.020, coverage=70/100 (70.0%)
Episode 39/2000 => steps=1000, reward=20520.790, coverage=72/100 (72.0%)
Episode 40/2000 => steps=989, reward=18229.870, coverage=70/100 (70.0%)
Episode 41/2000 => steps=650, reward=11839.500, coverage=78/100 (78.0%)
Episode 42/2000 => steps=948, reward=15662.680, coverage=74/100 (74.0%)
Episode 43/2000 => steps=1000, reward=16693.880, coverage=72/100 (72.0%)
Episode 44/2000 => steps=572, reward=11279.030, coverage=67/100 (67.0%)
Episode 45/2000 => steps=1000, reward=19934.010, coverage=77/100 (77.0%)
Episode 46/2000 => steps=522, reward=10224.660, coverage=79/100 (79.0%)
Episode 47/2000 => steps=811, reward=15929.610, coverage=73/100 (73.0%)
Episode 48/2000 => steps=674, reward=12135.360, coverage=73/100 (73.0%)
Episode 49/2000 => steps=973, reward=17953.180, coverage=81/100 (81.0%)
Episode 50/2000 => steps=691, reward=12541.250, coverage=78/100 (78.0%)
Episode 51/2000 => steps=648, reward=11490.110, coverage=82/100 (82.0%)
Episode 52/2000 => steps=1000, reward=20079.390, coverage=87/100 (87.0%)
Episode 53/2000 => steps=631, reward=12706.400, coverage=72/100 (72.0%)
Episode 54/2000 => steps=618, reward=12011.090, coverage=72/100 (72.0%)
Episode 55/2000 => steps=836, reward=17206.610, coverage=75/100 (75.0%)
Episode 56/2000 => steps=870, reward=15977.300, coverage=78/100 (78.0%)
Episode 57/2000 => steps=817, reward=12735.130, coverage=60/100 (60.0%)
Episode 58/2000 => steps=1000, reward=19142.280, coverage=84/100 (84.0%)
Episode 59/2000 => steps=708, reward=14552.490, coverage=83/100 (83.0%)
Episode 60/2000 => steps=735, reward=14299.560, coverage=66/100 (66.0%)
Episode 61/2000 => steps=682, reward=14656.430, coverage=87/100 (87.0%)
Episode 62/2000 => steps=844, reward=15797.940, coverage=74/100 (74.0%)
Episode 63/2000 => steps=1000, reward=18104.480, coverage=76/100 (76.0%)
Episode 64/2000 => steps=1000, reward=17725.550, coverage=77/100 (77.0%)
Episode 65/2000 => steps=533, reward=11695.770, coverage=72/100 (72.0%)
Episode 66/2000 => steps=757, reward=16496.460, coverage=82/100 (82.0%)
Episode 67/2000 => steps=508, reward=10221.800, coverage=71/100 (71.0%)
Episode 68/2000 => steps=1000, reward=17218.600, coverage=77/100 (77.0%)
Episode 69/2000 => steps=690, reward=12418.440, coverage=83/100 (83.0%)
Episode 70/2000 => steps=1000, reward=18432.350, coverage=72/100 (72.0%)
Episode 71/2000 => steps=696, reward=11980.520, coverage=72/100 (72.0%)
Episode 72/2000 => steps=772, reward=14823.740, coverage=83/100 (83.0%)
Episode 73/2000 => steps=518, reward=9295.260, coverage=85/100 (85.0%)
Episode 74/2000 => steps=1000, reward=18537.460, coverage=81/100 (81.0%)
Episode 75/2000 => steps=1000, reward=19735.110, coverage=89/100 (89.0%)
Episode 76/2000 => steps=637, reward=12266.780, coverage=76/100 (76.0%)
Episode 77/2000 => steps=567, reward=12415.010, coverage=92/100 (92.0%)
Episode 78/2000 => steps=1000, reward=17258.880, coverage=70/100 (70.0%)
Episode 79/2000 => steps=991, reward=17131.620, coverage=76/100 (76.0%)
Episode 80/2000 => steps=575, reward=11497.820, coverage=78/100 (78.0%)
Episode 81/2000 => steps=548, reward=10730.460, coverage=78/100 (78.0%)
Episode 82/2000 => steps=559, reward=12812.140, coverage=83/100 (83.0%)
Episode 83/2000 => steps=1000, reward=18265.210, coverage=84/100 (84.0%)
Episode 84/2000 => steps=1000, reward=17395.170, coverage=79/100 (79.0%)
Episode 85/2000 => steps=956, reward=16151.640, coverage=77/100 (77.0%)
Episode 86/2000 => steps=1000, reward=21862.710, coverage=86/100 (86.0%)
Episode 87/2000 => steps=691, reward=12492.730, coverage=79/100 (79.0%)
Episode 88/2000 => steps=561, reward=9328.570, coverage=68/100 (68.0%)
Episode 89/2000 => steps=750, reward=12308.650, coverage=71/100 (71.0%)
Episode 90/2000 => steps=642, reward=12135.210, coverage=84/100 (84.0%)
Episode 91/2000 => steps=719, reward=14007.200, coverage=78/100 (78.0%)
Episode 92/2000 => steps=911, reward=18943.210, coverage=75/100 (75.0%)
Episode 93/2000 => steps=856, reward=17082.390, coverage=77/100 (77.0%)
Episode 94/2000 => steps=594, reward=11692.310, coverage=71/100 (71.0%)
Episode 95/2000 => steps=1000, reward=20434.760, coverage=75/100 (75.0%)
Episode 96/2000 => steps=736, reward=14285.050, coverage=70/100 (70.0%)
Episode 97/2000 => steps=982, reward=19849.370, coverage=74/100 (74.0%)
Episode 98/2000 => steps=701, reward=13889.910, coverage=83/100 (83.0%)
Episode 99/2000 => steps=839, reward=17530.020, coverage=77/100 (77.0%)
Episode 100/2000 => steps=712, reward=14146.110, coverage=78/100 (78.0%)
Episode 101/2000 => steps=780, reward=16693.020, coverage=84/100 (84.0%)
Episode 102/2000 => steps=895, reward=19535.790, coverage=76/100 (76.0%)
Episode 103/2000 => steps=885, reward=14926.250, coverage=68/100 (68.0%)
Episode 104/2000 => steps=760, reward=16015.960, coverage=73/100 (73.0%)
Episode 105/2000 => steps=802, reward=16501.150, coverage=71/100 (71.0%)
Episode 106/2000 => steps=1000, reward=21409.150, coverage=79/100 (79.0%)
Episode 107/2000 => steps=649, reward=10921.040, coverage=71/100 (71.0%)
Episode 108/2000 => steps=808, reward=16215.410, coverage=72/100 (72.0%)
Episode 109/2000 => steps=1000, reward=18610.040, coverage=71/100 (71.0%)
Episode 110/2000 => steps=926, reward=16686.820, coverage=68/100 (68.0%)
Episode 111/2000 => steps=1000, reward=16389.950, coverage=68/100 (68.0%)
Episode 112/2000 => steps=1000, reward=17476.190, coverage=71/100 (71.0%)
Episode 113/2000 => steps=688, reward=10707.540, coverage=88/100 (88.0%)
Episode 114/2000 => steps=797, reward=13207.150, coverage=72/100 (72.0%)
Episode 115/2000 => steps=1000, reward=20944.730, coverage=71/100 (71.0%)
Episode 116/2000 => steps=801, reward=17520.520, coverage=85/100 (85.0%)
Episode 117/2000 => steps=1000, reward=21832.320, coverage=84/100 (84.0%)
Episode 118/2000 => steps=586, reward=12539.250, coverage=83/100 (83.0%)
Episode 119/2000 => steps=993, reward=19230.210, coverage=82/100 (82.0%)
Episode 120/2000 => steps=1000, reward=19896.670, coverage=78/100 (78.0%)
Episode 121/2000 => steps=1000, reward=19326.830, coverage=80/100 (80.0%)
Episode 122/2000 => steps=740, reward=12933.010, coverage=79/100 (79.0%)
Episode 123/2000 => steps=1000, reward=17775.690, coverage=72/100 (72.0%)
Episode 124/2000 => steps=949, reward=17306.370, coverage=81/100 (81.0%)
Episode 125/2000 => steps=661, reward=12388.800, coverage=66/100 (66.0%)
Episode 126/2000 => steps=1000, reward=21523.060, coverage=83/100 (83.0%)
Episode 127/2000 => steps=1000, reward=19041.410, coverage=78/100 (78.0%)
Episode 128/2000 => steps=631, reward=13622.070, coverage=81/100 (81.0%)
Episode 129/2000 => steps=641, reward=11560.320, coverage=75/100 (75.0%)
Episode 130/2000 => steps=1000, reward=18392.810, coverage=70/100 (70.0%)
Episode 131/2000 => steps=518, reward=8622.160, coverage=63/100 (63.0%)
Episode 132/2000 => steps=546, reward=9857.990, coverage=76/100 (76.0%)
Episode 133/2000 => steps=523, reward=8989.650, coverage=70/100 (70.0%)
Episode 134/2000 => steps=959, reward=18075.990, coverage=69/100 (69.0%)
Episode 135/2000 => steps=935, reward=17902.770, coverage=81/100 (81.0%)
Episode 136/2000 => steps=967, reward=18380.010, coverage=70/100 (70.0%)
Episode 137/2000 => steps=1000, reward=16610.680, coverage=74/100 (74.0%)
Episode 138/2000 => steps=865, reward=16325.990, coverage=70/100 (70.0%)
Episode 139/2000 => steps=973, reward=18184.280, coverage=65/100 (65.0%)
Episode 140/2000 => steps=578, reward=12468.890, coverage=90/100 (90.0%)
Episode 141/2000 => steps=664, reward=11740.790, coverage=77/100 (77.0%)
Episode 142/2000 => steps=686, reward=13959.210, coverage=68/100 (68.0%)
Episode 143/2000 => steps=1000, reward=20224.360, coverage=73/100 (73.0%)
Episode 144/2000 => steps=675, reward=13787.140, coverage=73/100 (73.0%)
Episode 145/2000 => steps=550, reward=10988.580, coverage=82/100 (82.0%)
Episode 146/2000 => steps=697, reward=14195.500, coverage=70/100 (70.0%)
Episode 147/2000 => steps=572, reward=10886.510, coverage=75/100 (75.0%)
Episode 148/2000 => steps=969, reward=21665.090, coverage=79/100 (79.0%)
Episode 149/2000 => steps=776, reward=16857.730, coverage=70/100 (70.0%)
Episode 150/2000 => steps=749, reward=15773.370, coverage=87/100 (87.0%)
Episode 151/2000 => steps=529, reward=10490.810, coverage=75/100 (75.0%)
Episode 152/2000 => steps=631, reward=12247.830, coverage=74/100 (74.0%)
Episode 153/2000 => steps=592, reward=11574.150, coverage=75/100 (75.0%)
Episode 154/2000 => steps=753, reward=14259.340, coverage=81/100 (81.0%)
Episode 155/2000 => steps=1000, reward=22223.370, coverage=85/100 (85.0%)
Episode 156/2000 => steps=1000, reward=19770.290, coverage=75/100 (75.0%)
Episode 157/2000 => steps=881, reward=15773.000, coverage=72/100 (72.0%)
Episode 158/2000 => steps=1000, reward=20805.010, coverage=75/100 (75.0%)
Episode 159/2000 => steps=719, reward=13994.450, coverage=68/100 (68.0%)
Episode 160/2000 => steps=685, reward=15002.850, coverage=77/100 (77.0%)
Episode 161/2000 => steps=663, reward=13637.550, coverage=92/100 (92.0%)
Episode 162/2000 => steps=538, reward=10171.410, coverage=69/100 (69.0%)
Episode 163/2000 => steps=756, reward=15230.010, coverage=71/100 (71.0%)
Episode 164/2000 => steps=709, reward=13407.230, coverage=68/100 (68.0%)
Episode 165/2000 => steps=686, reward=11333.500, coverage=66/100 (66.0%)
Episode 166/2000 => steps=671, reward=11679.510, coverage=73/100 (73.0%)
Episode 167/2000 => steps=980, reward=16813.900, coverage=76/100 (76.0%)
Episode 168/2000 => steps=533, reward=10591.630, coverage=70/100 (70.0%)
Episode 169/2000 => steps=1000, reward=19773.970, coverage=76/100 (76.0%)
Episode 170/2000 => steps=746, reward=14058.660, coverage=69/100 (69.0%)
Episode 171/2000 => steps=820, reward=13851.380, coverage=72/100 (72.0%)
Episode 172/2000 => steps=608, reward=12284.040, coverage=67/100 (67.0%)
Episode 173/2000 => steps=533, reward=10312.150, coverage=75/100 (75.0%)
Episode 174/2000 => steps=613, reward=12636.520, coverage=73/100 (73.0%)
Episode 175/2000 => steps=1000, reward=18378.740, coverage=71/100 (71.0%)
Episode 176/2000 => steps=705, reward=12809.020, coverage=71/100 (71.0%)
Episode 177/2000 => steps=761, reward=14699.640, coverage=71/100 (71.0%)
Episode 178/2000 => steps=658, reward=12819.750, coverage=68/100 (68.0%)
Episode 179/2000 => steps=860, reward=15978.960, coverage=68/100 (68.0%)
Episode 180/2000 => steps=654, reward=11673.660, coverage=72/100 (72.0%)
Episode 181/2000 => steps=673, reward=13963.400, coverage=76/100 (76.0%)
Episode 182/2000 => steps=702, reward=12937.360, coverage=59/100 (59.0%)
Episode 183/2000 => steps=953, reward=19016.720, coverage=78/100 (78.0%)
Episode 184/2000 => steps=554, reward=12096.160, coverage=78/100 (78.0%)
Episode 185/2000 => steps=735, reward=15018.550, coverage=77/100 (77.0%)
Episode 186/2000 => steps=711, reward=14550.080, coverage=85/100 (85.0%)
Episode 187/2000 => steps=1000, reward=17742.010, coverage=75/100 (75.0%)
Episode 188/2000 => steps=1000, reward=20823.490, coverage=76/100 (76.0%)
Episode 189/2000 => steps=659, reward=12946.870, coverage=73/100 (73.0%)
Episode 190/2000 => steps=550, reward=11959.210, coverage=69/100 (69.0%)
Episode 191/2000 => steps=964, reward=21250.140, coverage=88/100 (88.0%)
Episode 192/2000 => steps=648, reward=12651.420, coverage=78/100 (78.0%)
Episode 193/2000 => steps=869, reward=15795.330, coverage=80/100 (80.0%)
Episode 194/2000 => steps=1000, reward=17286.050, coverage=73/100 (73.0%)
